Name,Date,Done it
,"September 20, 2021",Yes
Forgot the alarm got up at 530,"September 21, 2021",No
,"September 22, 2021",Yes
,"September 23, 2021",Yes
,"September 24, 2021",Yes
,"September 25, 2021",Yes
,"September 26, 2021",Yes
,"September 27, 2021",Yes
,"September 28, 2021",Yes
,"September 29, 2021",Yes
,"September 30, 2021",Yes
,"October 1, 2021",Yes
,"October 2, 2021",Yes
Sunday went back to sleep,"October 3, 2021",No
,"October 4, 2021",Yes
,"October 5, 2021",Yes
,"October 6, 2021",Yes
,"October 7, 2021",Yes
