Things,Tags,Priority,Selected
Vertigo lecture video recording,"Academic, Content Creation, Online teaching, Teaching",High,Yes
Vertigo lectures editing,"Content Creation, Multimedia Learning, Online teaching",High,Yes
Learn Davinci Resolve,"Content Creation, Learning, Multimedia Learning",,Yes
Learn OBS,"Content Creation, Learning, Multimedia Learning",,Yes
Learn Advanced English,"Academic, Learning",,Yes
Write the paediatric text book chapter,"Academic, Learning",,Yes
Write journal articles,"Academic, Learning",,Yes
Finish Question books,"Academic, Learning",,No
Daily Anki,"Academic, Learning",,No
Mathematics Teaching,Teaching,,Yes
Walking,"Exercise, Health",,Yes
Yoga,"Exercise, Health",,Yes
Meditation,Health,,Yes
Eat Wise,Health,,Yes
Vectronator,"Content Creation, Learning, Multimedia Learning",,No
Krita,"Content Creation, Learning, Multimedia Learning",,No
Football,Entertainment,,Yes
Films,Entertainment,,Yes
Health.LK,"Content Creation, Income Generation, Online Service, Website Management",,No
LearnENT.NET,"Content Creation, Income Generation, Online Service, Website Management",,No
oDoc Improvement,"Income Generation, Online Service",,No
Reading Books,"Entertainment, Learning",,No
Create a Techno How To video series,"Content Creation, Online Service, Online teaching",,No
Create a Medical How to Video series,"Content Creation, Online Service, Online teaching",,No
Estate Management,"Income Generation, Learning",,No
Golden History,Income Generation,,No
Practice Software,"Income Generation, Online Service",,No
Podcasts,"Entertainment, Learning",,No
