Name,1 Promodore for JS,Date,Dhamma-1,Dhamma-2,ENT- 1,ENT-2,Healthy Eating,Journal,Meditate,Morning Routine,Yoga / Stretching
Wednesday,Yes,"December 9, 2020",Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Thursday,Yes,"December 10, 2020",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Friday,No,"December 11, 2020",No,No,Yes,No,No,No,Yes,No,Yes
"Saturday ",No,"December 12, 2020",Yes,No,Yes,No,No,No,No,Yes,No
"Sunday ",No,"December 13, 2020",Yes,Yes,No,No,No,No,Yes,No,Yes
"Monday ",Yes,"December 14, 2020",No,No,Yes,No,No,No,Yes,Yes,No
"Tuesday ",No,"December 15, 2020",No,No,No,No,No,No,Yes,Yes,No
Wednesday,No,"December 16, 2020",Yes,No,Yes,No,Yes,No,Yes,No,Yes
Thursday,No,"December 17, 2020",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Thursday,No,"December 17, 2020",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Friday,No,"December 18, 2020",Yes,Yes,Yes,No,No,No,Yes,No,Yes
Friday,No,"December 18, 2020",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Friday,No,"December 18, 2020",No,No,No,No,No,No,Yes,Yes,No
Saturday,No,"December 19, 2020",Yes,No,No,No,No,No,Yes,No,Yes
Sunday,No,"December 20, 2020",No,No,Yes,No,No,No,Yes,No,Yes
,No,,No,No,No,No,No,No,No,No,No
