Name,Tags,Description,Next Steps,Value out of 10
Meditation,Spiritual,,,10
Improve practice onine arm,Professional,,,9
Video Series,Professional,,,8
Vegetarian but nutritious dieting,Health,,,8
Write a text book chapter,Professional,,,8
"Journal club concept ",Professional,Need to keep an eye on important developments in my field and get on to reading them in more details,"Go to clincal key, get rss and set it up Reeder",8
Health.lk,Professional,,,7
Reading books from iPad,Personal,,,7
LearnENT.NET,Professional,,,6
Past Papers,Professional,,,6
FLEX,Professional,,,6
Yoga,"Health, Personal",,,6
Vector graphics and digital art as a hobby,Personal,,,5
,,,,
